0 20 0 9
0 20 1 0
0 20 9 9
0 21 1 8
0 22 5 0
1 21 6 9
1 20 3 7
1 21 8 5 
1 4 3 7
1 1 1 8 
1 2 1 9
1 11 0 0
1 20 9 2 
1 21 9 1
1 2 8 3
2 8 5 7
2 6 0 9
2 12 7 0
2 21 6 7
2 21 7 7
2 2 9 6
2 3 9 7
2 8 2 0
3 21 3 9
3 1 2 7
3 2 3 7
3 15 7 8
3 10 7 9
3 21 9 9
3 22 9 8
3 20 0 0 
3 20 1 0
3 20 1 1
3 2 3 1
3 3 5 1
4 3 9 1
4 2 8 2
4 20 7 2
4 20 8 2
4 21 9 2
4 17 4 0
4 10 1 0 
4 22 0 5
4 22 1 8
4 21 1 9
4 23 2 8
4 22 7 8
4 22 7 9
5 21 5 6
5 21 5 8 
5 28 6 8
5 18 7 1
5 2 2 1
5 3 2 2
5 9 2 5
6 6 8 2
6 13 6 2 
6 21 4 2
6 21 4 3
6 20 4 4
6 3 2 4
6 26 0 9
7 21 2 8
7 21 0 2
7 2 0 2
7 1 2 2
7 1 3 2
7 9 6 3
7 29 8 9
7 1 8 0
7 2 9 0
8 0 6 2
8 21 6 1
8 7 9 0
8 23 8 0
8 14 7 9
8 10 8 9
8 3 0 0
8 2 0 1
9 24 3 2
9 21 0 1
9 20 1 1
9 28 8 0
9 9 2 4
9 25 2 6
4 27 5 9
