0 1 5 7
0 3 1 5
0 2 9 0
0 2 1 9
0 3 8 9
1 4 0 1
1 1 0 2
1 2 0 3
1 3 5 5
1 4 8 1
1 2 5 7 
1 4 7 7
2 2 0 4
2 3 9 0
2 4 1 2 
2 3 0 7
2 2 0 8
2 5 1 8 
2 1 1 9
2 3 8 0
2 2 3 4
2 2 5 4
3 2 0 2
3 3 0 1
3 4 1 2
3 5 0 7
3 4 1 7
3 3 9 7
3 2 9 6
3 2 5 3
3 4 6 8
3 3 6 9
4 5 0 2 
4 5 0 1
4 6 1 2
4 3 3 0
4 3 3 1
4 4 5 0
4 4 5 1
4 4 4 1
4 6 3 6
4 6 6 8
4 5 6 9
5 4 1 1
5 5 1 2
5 8 1 4
5 8 1 5
5 7 7 1 
5 9 7 2
5 7 8 1
5 6 6 6
6 5 7 0
6 9 6 0
6 8 5 0
6 10 2 3
6 8 2 2
6 9 8 4
6 12 8 5
6 18 6 5 
6 14 0 7
6 15 0 8
6 13 8 8
6 12 8 7
7 18 5 0
7 17 6 0
7 16 1 8
7 21 2 9
7 22 9 9
7 20 7 5
7 20 8 5
7 18 7 2
7 14 8 2
7 12 4 3
8 26 0 2
8 25 1 2
8 24 2 2
8 24 4 2
8 24 5 1
8 25 6 0
8 22 8 1
8 21 9 1
8 22 3 9
8 23 7 8
8 21 3 8
8 20 5 4
8 20 6 4
8 23 3 6
8 21 2 6
9 28 8 1
9 29 8 2
9 28 9 1
9 28 5 0
9 27 4 0
9 26 4 4
9 26 5 4
9 25 6 4
9 28 7 6
9 27 5 6
9 27 6 6
9 29 9 8
